text;label
$ bynd - jpmorgan reel expectation beyond meat http : //t.co/bd0xbfgjkt;Bearish
$ ccl $ rcl - nomura point booking weakness carnival royal caribbean http : //t.co/ygjpt2red3;Bearish
$ cx - cemex cut credit suisse , j.p. morgan weak building outlook http : //t.co/kn1g4awfib;Bearish
$ es : btig research cut neutral http : //t.co/mcyftsxc2n;Bearish
$ fnko - funko slide piper jaffray pt cut http : //t.co/z37ijmcqzb;Bearish
$ fti - technipfmc downgraded berenberg called top pick deutsche bank http : //t.co/xkcpdiliuu;Bearish
$ gm - gm loses bull http : //t.co/tdufg5hbxy;Bearish
$ gm : deutsche bank cut hold http : //t.co/7fv1zifzbs;Bearish
$ gtt : cowen cut market perform;Bearish
$ hnhaf $ hnhpd $ aapl - trendforce cut iphone estimate foxconn delay http : //t.co/rlnewzlzzs;Bearish
$ hog - moody 's warns harley-davidson http : //t.co/lurhbeadeu;Bearish
$ hxl - citing aero tie , well slash pt hexcel http : //t.co/wu5p2i8wbu;Bearish
$ - intelsat cut market perform raymond james http : //t.co/ysvsmsqrib;Bearish
$ krg : compass point cut sell http : //t.co/mcyftsxc2n;Bearish
$ lk - muddy water go short luckin coffee http : //t.co/8yrbwajlkg;Bearish
$ mant - mantech downgraded ahead difficult comp http : //t.co/mj1esrsfxj;Bearish
$ mdco : oppenheimer cut perform;Bearish
$ mplx $ mpc - mplx cut credit suisse potential dilution marathon strategic review http : //t.co/0bfqy4zu6w;Bearish
$ msgn - imperial downgrade msg network amid sports-free airwave http : //t.co/ul2s6xnxw8;Bearish
$ mtls - piper hit materialise sideline http : //t.co/qlfxzuhkrt;Bearish
$ ncbs : hovde group cut market perform;Bearish
$ nflx - new netflix bear step http : //t.co/pdpkglk0fq;Bearish
$ shop - shopify loses bull http : //t.co/eoq7lchtk4;Bearish
$ stay - nomura instinet loses confidence extended stay america http : //t.co/wrqxtc38nb;Bearish
$ twlo - twilio get street-low target virus risk http : //t.co/ky3d8dxnjx;Bearish
$ vclt $ splb $ iglb - guggenheim 's minerd see gloom ahead stock http : //t.co/nkyqgy2o3j;Bearish
$ viac $ viaca $ fox - moffettnathanson expects nfl tv cost skyrocket http : //t.co/apfxeqssrf;Bearish
$ viac : barrington research cut mkt perform http : //t.co/7fv1zifzbs;Bearish
$ xlnx - mizuho cut xlnx target near-term headwind http : //t.co/hswcvjb1ct;Bearish
2u downgraded sector weight overweight keybanc capital;Bearish
alphabet facebook price target cut barclays weaker ad outlook http : //t.co/plbsae1nc2;Bearish
amc network price target cut $ 35 $ 39 imperial capital;Bearish
american software downgraded neutral buy b. riley fbr;Bearish
analyst question silicon motion 's margin outlook;Bearish
anchiano therapeutic downgraded peer perform outperform oppenheimer;Bearish
arch coal stock price target cut $ 97 $ 100 b. riley fbr;Bearish
& downgraded moffettnathanson sell concern wireless ca n't carry whole company;Bearish
& share sink moffettnathanson downgrade;Bearish
& stock fall moffettnathanson downgrade , saying dividend look le compelling;Bearish
aurora cannabis stock price target cut c $ 1.00 c $ 1.75 stifel nicolaus;Bearish
autodesk downgraded underweight neutral jpmorgan;Bearish
baml warns profit pressure hormel;Bearish
barclays cool molson coors;Bearish
becton dickinson downgraded outperform strong buy raymond james;Bearish
becton dickinson downgraded sector weight overweight keybanc capital;Bearish
berry petroleum downgraded market perform outperform bmo capital;Bearish
berry petroleum downgraded underweight sector weight keybanc capital;Bearish
bluebird bio downgraded line outperform evercore isi;Bearish
bluebird bio stock price target cut $ 86 $ 172 evercore isi;Bearish
canada goose downgraded buy strong buy cfra;Bearish
canada goose stock price target cut $ 50 $ 65 cfra;Bearish
child 's place downgraded e-commerce put margin risk;Bearish
child 's place price target cut $ 80 $ 105 monness crespi hardt;Bearish
cinedigm corp. analyst cutting estimate : 's need know;Bearish
clovis oncology stock price target cut $ 8 $ 12 evercore isi;Bearish
cumberland pharmaceutical stock price target cut $ 9.00 $ 12.25 b. riley fbr;Bearish
dell , hpe target trimmed compute headwind;Bearish
dish may key winner amid intelsat woe - analyst;Bearish
disney downgraded analyst say park attendance could take 2 year 'normalize ' http : //t.co/injkourtw3;Bearish
downgrade 11/25 : $ aeo $ colm $ dgii $ eqt $ es $ evrg $ gtt $ krg $ mant $ mdco $ nflx $ omp $ peg $ pru $ sbt $ sitc $ tap $ vip;Bearish
downgrade 4/7 : $ mlnd $ msgn $ mtls $ $ oc $ ovv $ peb $ pk $ plya $ qep $ rhp $ rpai $ saia $ sdc $ shop $ sky $ slg $ sm $ twloвђ¦ http : //t.co/ngkytadost;Bearish
dropbox watch stinging spruce point report;Bearish
earnings update : electrocore , inc. reported analyst trimming forecast;Bearish
evercore downgrade bluebird bio clovis premarket analyst action;Bearish
fannie mae , freddie mac downgraded sell , analyst cite 'unintended consequence ' care act http : //t.co/nhiywphbqd;Bearish
forescout downgraded neutral buy monness crespi hardt;Bearish
formfactor cut 'unsustainable ' revenue outlook;Bearish
funko downgraded hold buy stifel nicolaus;Bearish
funko stock price target cut $ 10 $ 25 stifel nicolaus;Bearish
gm stock price target cut $ 30 $ 32 deutsche bank;Bearish
grubhub gain bear margin view;Bearish
h & p downgraded argus drilling industry weakness seen persisting;Bearish
hanesbrands stock price target cut $ 13 vs. $ 16 bofa merrill lynch;Bearish
helmerich & payne started sell $ 34 stock price target deutsche bank;Bearish
hexo stock price target cut c $ 5 c $ 6 mkm partner;Bearish
home depot stock price target cut $ 237 $ 240 instinet;Bearish
intelsat downgraded underweight neutral j.p. morgan;Bearish
intelsat lower morgan stanley target cut;Bearish
jefferies warns l brand;Bearish
kohl 's stock price target cut $ 48 $ 52 deutsche bank;Bearish
kohl 's stock price target cut $ 50 $ 53 wedbush;Bearish
l brand stock price target cut $ 16 $ 20 wedbush;Bearish
