text;label
$ bynd - jpmorgan reel in expectation on beyond meat;Bearish
$ ccl $ rcl - nomura point to booking weakness at carnival and royal caribbean;Bearish
$ cx - cemex cut at credit suisse , j.p. morgan on weak building outlook;Bearish
$ es : btig research cut to neutral;Bearish
$ fnko - funko slide after piper jaffray pt cut;Bearish
$ fti - technipfmc downgraded at berenberg but called top pick at deutsche bank;Bearish
$ gm - gm loses a bull;Bearish
$ gm : deutsche bank cut to hold;Bearish
$ gtt : cowen cut to market perform;Bearish
$ hnhaf $ hnhpd $ aapl - trendforce cut iphone estimate after foxconn delay;Bearish
$ hog - moody 's warns on harley-davidson;Bearish
$ hxl - citing aero tie , well slash pt on hexcel;Bearish
$ i - intelsat cut to market perform at raymond james;Bearish
$ krg : compass point cut to sell;Bearish
$ lk - muddy water go short luckin coffee;Bearish
$ mant - mantech downgraded ahead of difficult comp;Bearish
$ mdco : oppenheimer cut to perform;Bearish
$ mplx $ mpc - mplx cut at credit suisse on potential dilution from marathon strategic review;Bearish
$ msgn - imperial downgrade msg network amid sports-free airwave;Bearish
$ mtls - piper hit the materialise sideline;Bearish
$ ncbs : hovde group cut to market perform;Bearish
$ nflx - new netflix bear step out;Bearish
$ shop - shopify loses a bull;Bearish
$ stay - nomura instinet loses confidence in extended stay america;Bearish
$ twlo - twilio get street-low target on virus risk;Bearish
$ vclt $ splb $ iglb - guggenheim 's minerd see more gloom ahead in stock;Bearish
$ viac $ viaca $ fox - moffettnathanson expects nfl tv cost to skyrocket;Bearish
$ viac : barrington research cut to mkt perform;Bearish
$ xlnx - mizuho cut xlnx target on near-term headwind;Bearish
2u downgraded to sector weight from overweight at keybanc capital;Bearish
alphabet and facebook price target cut at barclays on weaker ad outlook;Bearish
amc network price target cut to $ 35 from $ 39 at imperial capital;Bearish
american software downgraded to neutral from buy at b. riley fbr;Bearish
analyst question silicon motion 's margin outlook;Bearish
anchiano therapeutic downgraded to peer perform from outperform at oppenheimer;Bearish
arch coal stock price target cut to $ 97 from $ 100 at b. riley fbr;Bearish
at & t downgraded by moffettnathanson to sell on concern wireless ca n't carry the whole company;Bearish
at & t share sink after moffettnathanson downgrade;Bearish
at & t stock fall after moffettnathanson downgrade , saying dividend look le compelling;Bearish
aurora cannabis stock price target cut to c $ 1.00 from c $ 1.75 at stifel nicolaus;Bearish
autodesk downgraded to underweight from neutral at jpmorgan;Bearish
baml warns of profit pressure for hormel;Bearish
barclays cool on molson coors;Bearish
becton dickinson downgraded to outperform from strong buy at raymond james;Bearish
becton dickinson downgraded to sector weight from overweight at keybanc capital;Bearish
berry petroleum downgraded to market perform from outperform at bmo capital;Bearish
berry petroleum downgraded to underweight from sector weight at keybanc capital;Bearish
bluebird bio downgraded to in line from outperform at evercore isi;Bearish
bluebird bio stock price target cut to $ 86 from $ 172 at evercore isi;Bearish
canada goose downgraded to buy from strong buy at cfra;Bearish
canada goose stock price target cut to $ 50 from $ 65 at cfra;Bearish
child 's place downgraded a e-commerce put margin at risk;Bearish
child 's place price target cut to $ 80 from $ 105 at monness crespi hardt;Bearish
cinedigm corp. analyst are cutting their estimate : here 's what you need to know;Bearish
clovis oncology stock price target cut to $ 8 from $ 12 at evercore isi;Bearish
cumberland pharmaceutical stock price target cut to $ 9.00 from $ 12.25 at b. riley fbr;Bearish
dell , hpe target trimmed on compute headwind;Bearish
dish may not be key winner amid intelsat woe - analyst;Bearish
disney downgraded a analyst say park attendance could take 2 year to 'normalize ';Bearish
downgrade 11/25 : $ aeo $ colm $ dgii $ eqt $ es $ evrg $ gtt $ krg $ mant $ mdco $ nflx $ omp $ peg $ pru $ sbt $ sitc $ tap $ vip;Bearish
downgrade 4/7 : $ mlnd $ msgn $ mtls $ o $ oc $ ovv $ peb $ pk $ plya $ qep $ rhp $ rpai $ saia $ sdc $ shop $ sky $ slg $ sm $ twloвђ¦;Bearish
dropbox on watch after stinging spruce point report;Bearish
earnings update : electrocore , inc. just reported and analyst are trimming their forecast;Bearish
evercore downgrade bluebird bio and clovis in premarket analyst action;Bearish
fannie mae , freddie mac downgraded to sell , a analyst cite 'unintended consequence ' of care act;Bearish
forescout downgraded to neutral from buy at monness crespi hardt;Bearish
formfactor cut on 'unsustainable ' revenue outlook;Bearish
funko downgraded to hold from buy at stifel nicolaus;Bearish
funko stock price target cut to $ 10 from $ 25 at stifel nicolaus;Bearish
gm stock price target cut to $ 30 from $ 32 at deutsche bank;Bearish
grubhub gain a bear on margin view;Bearish
h & p downgraded at argus a drilling industry weakness seen persisting;Bearish
hanesbrands stock price target cut to $ 13 vs. $ 16 at bofa merrill lynch;Bearish
helmerich & payne started at sell with $ 34 stock price target at deutsche bank;Bearish
hexo stock price target cut to c $ 5 from c $ 6 at mkm partner;Bearish
home depot stock price target cut to $ 237 from $ 240 at instinet;Bearish
intelsat downgraded to underweight from neutral at j.p. morgan;Bearish
intelsat lower after morgan stanley target cut;Bearish
jefferies warns on l brand;Bearish
kohl 's stock price target cut to $ 48 from $ 52 at deutsche bank;Bearish
kohl 's stock price target cut to $ 50 from $ 53 at wedbush;Bearish
l brand stock price target cut to $ 16 from $ 20 at wedbush;Bearish
lovesac stock price target cut to $ 28 vs. $ 33 at canaccord;Bearish
lyft stock price target cut to $ 58 from $ 70 at deutsche bank;Bearish
macerich downgraded to underweight from sector weight at keybanc capital;Bearish
marinus pharma stock price target cut to $ 6 from $ 7 at leerink;Bearish
methanex downgraded at td security on valuation;Bearish
metro inc. just missed earnings and it eps looked sad - but analyst have updated their model;Bearish
mid-america apartment community downgraded to sector weight from overweight at keybanc capital;Bearish
mitek system stock price target cut to $ 11 from $ 14 at benchmark;Bearish
napco security stock price target cut to $ 30 from $ 35 at imperial capital;Bearish
needham 's martin defends her prediction that netflix subscription will fall;Bearish
netflix downgraded to вђunderperformвђ™ at needham;Bearish
netflix stock fall after well fargo turn bearish;Bearish
new netflix bear step out;Bearish
new york opioid case a significant risk for pharma stock , say bearish bofa;Bearish
norwegian cruise line downgraded to strong sell from hold at cfra;Bearish
novo nordisk downgraded by ubs on concern over drug launch cost;Bearish
oppenheimer cut estimate on yum china;Bearish
orbcomm price target lowered to $ 9 at canaccord;Bearish
o'reilly automotive stock price target cut to $ 405 from $ 415 at j.p. morgan;Bearish
patterson-uti energy started at sell with $ 7 stock price target at deutsche bank;Bearish
p business park downgraded to underweight from sector weight at keybanc capital;Bearish
rio tinto downgraded to neutral from overweight at j.p. morgan;Bearish
rosenblatt project 47 % downside in apple share , warns of drop in iphone production;Bearish
royal caribbean downgraded to sell from buy at cfra;Bearish
royal caribbean stock price target cut to $ 100 from $ 135 at cfra;Bearish
royal caribbean 's stock fall after cfra swing to bearish on 'more dire ' coronavirus assessment;Bearish
scandinavian tobacco group a/s earnings missed analyst estimate : here 's what analyst are forecasting now;Bearish
sherwin-williams cut from conviction buy at goldman on valuation;Bearish
sirius downgraded on valuation;Bearish
spotify double downgrade reflects prospect of slower revenue growth;Bearish
suntrust latest to trim nielsen target;Bearish
taco bell parent yum brand downgraded to neutral from buy at btig;Bearish
take-two downgraded on murky game slate;Bearish
take-two interactive stock price target cut to $ 124 from $ 133 at mkm partner;Bearish
target hospitality downgraded to perform from outperform at oppenheimer;Bearish
taubman center downgraded to sector weight from overweight at keybanc capital;Bearish
the manitowoc company , inc. just reported earnings , and analyst cut their target price;Bearish
transocean started at sell with $ 3 stock price target at deutsche bank;Bearish
ultra clean downgraded to hold from buy at stifel nicolaus;Bearish
well fargo downgrade netflix $ nflx to underperform but see a a takeover target . nflx could get acquired : nflx iвђ¦;Bearish
well fargo downgrade netflix on spending concern;Bearish
well fargo downgrade netflix : 'if content is king , then cash is queen ';Bearish
welltower stock price target cut to $ 90 from $ 95 at j.p. morgan;Bearish
wwe stock price target cut to $ 57 from $ 79 at benchmark;Bearish
$ altg : dougherty & company start at buy;Bullish
$ amd - amd 's navi show strong adoption - bofa;Bullish
$ ancuf : bmo capital market ups to outperform;Bullish
$ bhe : lake street start at buy;Bullish
"$ cnc * s & p raise centene corp. rtg to bbb- from bb+ ; outlk stable *";Bullish
$ de - citi give big boost to deere pt;Bullish
$ ebay - guggenheim see favorable catalyst for ebay;Bullish
$ fcx - freeport upgraded a credit suisse see big buying opportunity;Bullish
$ flxn : btig research start at buy;Bullish
$ fnv - franco-nevada will not need more funding despite suspension , analyst say;Bullish
$ gbt : cantor fitzgerald resume at overweight;Bullish
$ gm - morgan stanley see gm doubling in bull case scenario;Bullish
$ goo : barclays start at overweight;Bullish
$ ha - hasbro gain after ubs upgrade;Bullish
$ jd - new bull praise acceleration , margin profile;Bullish
$ jd : barclays ups to overweight;Bullish
$ khc - jpmorgan constructive on kraft heinz;Bullish
$ kim : compass point ups to neutral;Bullish
$ low - lowe 's rack up another positive rating despite recession risk;Bullish
$ lrcx - lam target boosted on 'compelling ' setup;Bullish
$ lulu : barclays start at overweight;Bullish
$ mu $ wdc - bull see 2020 upside for mu , wdc;Bullish
$ nby rated buy;Bullish
$ nflx - suntrust expecting netflix to post strong user growth;Bullish
$ nvda - nvidia set for gaming tailwind - bofa;Bullish
$ ocn - btig see 'material improvement ' to ocwen book value;Bullish
$ oyst : cowen start at outperform;Bullish
$ rapt : bmo capital market start at outperform;Bullish
$ rng - evercore start ringcentral at outperform;Bullish
$ sbac $ sbac $ amt - moffettnathanson boost sbac to buy;Bullish
$ snap - loop turn bullish on snap ad growth;Bullish
$ stxs : lake street start at buy;Bullish
$ tenb - cowen see upside in tenb 's indegy purchase;Bullish
$ uber $ lyft - uber , lyft can raise price to profit - barclays;Bullish
$ wabc : maxim group ups to buy;Bullish
$ wri : compass point ups to buy;Bullish
"$ z - new zscaler bull see 'sustainable ' growth ; share +4 %";Bullish
activision , take-two chart look 'constructive ' a well fargo get bullish on video game play : trader $ atvi $ ttwoвђ¦;Bullish
adobe stock price target raised to $ 315 vs. $ 290 at wedbush;Bullish
adobe stock price target raised to $ 318 vs. $ 310 at instinet;Bullish
aegis capital positive on netflix usage trend;Bullish
after a 60 % drop in 6 month , bank of america say buy pot stock canopy;Bullish
akero therapeutic started at buy with $ 36 stock price target at canaccord genuity;Bullish
align technology stock price target raised to $ 305 from $ 290 at stifel nicolaus;Bullish
allergan upgraded to buy from neutral at ubs;Bullish
altria stock price target raised to $ 54 from $ 50 at stifel nicolaus;Bullish
